paper_label,paper_estimate_id,url,journal,publication_year,field,context,empirical_strategy,outcome,outcome_type,outcome_subgroup,control_outcome,independent_variable,temporal_scale,sample_size,increase_independent_variable,independent_variable_dummy,is_standardized,log_outcome,mean_outcome,sd_outcome,mean_independant_variable,sd_independent_variable,estimate,standard_error,first_stage_statistic,source_summary_stats,source_results,remarks,open_data
anderson et al. (2022),22,https://www.nber.org/papers/w29646,working paper,2022,economics,south korea,reduced-form,cardiovascular disease expenditures - age 20-64,morbidity,age 20-64,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,12,7.4,NA,NA,-1.757,0.513,NA,table 1,table 5 - column 2,NA,0
anderson et al. (2022),23,https://www.nber.org/papers/w29647,working paper,2022,economics,south korea,reduced-form,cardiovascular disease expenditures - age 65+,morbidity,old,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,64.3,42.1,NA,NA,-5.962,2.07,NA,table 1,table 5 - column 3,NA,0
anderson et al. (2022),24,https://www.nber.org/papers/w29648,working paper,2022,economics,south korea,reduced-form,cardiovascular disease expenditures - age all,morbidity,all,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,indicator for the air pollution indiciator being above the rd threshold,1,0,0,NA,NA,NA,NA,-2.026,0.573,NA,table 1,table 5 - column 4,NA,0
anderson et al. (2022),25,https://www.nber.org/papers/w29649,working paper,2022,economics,south korea,instrumental variable,cardiovascular disease expenditures - age 0-19,morbidity,children and young,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,0.1,3.1,NA,NA,-0.04,0.032,NA,table 1,table 5 - column 1,NA,0
anderson et al. (2022),26,https://www.nber.org/papers/w29650,working paper,2022,economics,south korea,instrumental variable,cardiovascular disease expenditures - age 20-64,morbidity,age 20-64,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,12,7.4,NA,NA,-2.828,0.976,NA,table 1,table 5 - column 2,NA,0
anderson et al. (2022),27,https://www.nber.org/papers/w29651,working paper,2022,economics,south korea,instrumental variable,cardiovascular disease expenditures - age 65+,morbidity,old,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,64.3,42.1,NA,NA,-9.641,3.849,NA,table 1,table 5 - column 3,NA,0
anderson et al. (2022),28,https://www.nber.org/papers/w29652,working paper,2022,economics,south korea,instrumental variable,cardiovascular disease expenditures - age all,morbidity,all,0,indicator for the air pollution indiciator being above the rd threshold,daily,2530,advisory indicator,1,0,0,NA,NA,NA,NA,-3.259,1.086,NA,table 1,table 5 - column 4,NA,0
arceo-gomez et al. (2015),29,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",conventional time series,infant mortality,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,38.21,56.93,43.37,23.85,0.0649,0.0234,NA,table 1,table 3 - column 2,NA,1
arceo-gomez et al. (2015),30,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",conventional time series,infant mortality,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,38.21,56.93,2707.56,797.7,0.0014,7e-4,NA,table 1,table 3 - column 2,NA,1
arceo-gomez et al. (2015),31,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",conventional time series,neonatal mortality,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,295.83,520.49,43.37,23.85,0.3595,0.2063,NA,table 1,table 3 - column 1,NA,1
arceo-gomez et al. (2015),32,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",conventional time series,neonatal mortality,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,295.83,520.49,2707.56,797.7,0.004,0.006,NA,table 1,table 3 - column 1,NA,1
arceo-gomez et al. (2015),33,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,38.21,56.93,43.37,23.85,0.2313,0.0821,NA,table 1,table 3 - column 4,NA,1
arceo-gomez et al. (2015),34,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,38.21,56.93,2707.56,797.7,0.0046,0.0016,NA,table 1,table 3 - column 4,NA,1
arceo-gomez et al. (2015),35,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,295.83,520.49,43.37,23.85,0.641,0.0821,NA,table 1,table 3 - column 3,NA,1
arceo-gomez et al. (2015),36,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,295.83,520.49,2707.56,797.7,0.0135,0.0016,NA,table 1,table 3 - column 3,NA,1
arceo-gomez et al. (2015),37,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - external causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,3.27,49.09,43.37,23.85,-0.0283,0.0541,NA,table 1,table 4 - column 1,NA,1
arceo-gomez et al. (2015),38,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - external causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,3.27,49.09,2707.56,797.7,-8e-4,0.0011,NA,table 1,table 4 - column 1,NA,1
arceo-gomez et al. (2015),39,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - internal causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,287.73,513.74,43.37,23.85,0.4263,0.4742,NA,table 1,table 4 - column 2,NA,1
arceo-gomez et al. (2015),40,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - internal causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,287.73,513.74,2707.56,797.7,0.0085,0.0102,NA,table 1,table 4 - column 2,NA,1
arceo-gomez et al. (2015),41,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - non-respiratory causes,mortality,infant,1,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,283.15,507.73,43.37,23.85,-0.0448,0.4521,NA,table 1,table 4 - column 3,NA,1
arceo-gomez et al. (2015),42,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - non-respiratory causes,mortality,infant,1,co,weekly,18017,1 ppb increase in co,0,0,0,283.15,507.73,2707.56,797.7,-0.0016,0.0096,NA,table 1,table 4 - column 3,NA,1
arceo-gomez et al. (2015),43,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - respiratory causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,7.85,96.17,43.37,23.85,0.4428,0.0967,NA,table 1,table 4 - column 4,NA,1
arceo-gomez et al. (2015),44,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,neonatal mortality - respiratory causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,7.85,96.17,2707.56,797.7,0.0093,0.0021,NA,table 1,table 4 - column 4,NA,1
arceo-gomez et al. (2015),45,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - external causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,1.18,9.61,43.37,23.85,0.0105,0.0088,NA,table 1,table 4 - column 5,NA,1
arceo-gomez et al. (2015),46,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - external causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,1.18,9.61,2707.56,797.7,2e-4,2e-4,NA,table 1,table 4 - column 5,NA,1
arceo-gomez et al. (2015),47,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - internal causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,36.52,55.14,43.37,23.85,0.1902,0.0701,NA,table 1,table 4 - column 6,NA,1
arceo-gomez et al. (2015),48,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - internal causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,36.52,55.14,2707.56,797.7,0.0037,0.0014,NA,table 1,table 4 - column 6,NA,1
arceo-gomez et al. (2015),49,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - non-respiratory causes,mortality,infant,1,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,30.79,46.65,43.37,23.85,0.0773,0.0486,NA,table 1,table 4 - column 7,NA,1
arceo-gomez et al. (2015),50,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - non-respiratory causes,mortality,infant,1,co,weekly,18017,1 ppb increase in co,0,0,0,30.79,46.65,2707.56,797.7,0.0014,0.001,NA,table 1,table 4 - column 7,NA,1
arceo-gomez et al. (2015),51,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - respiratory causes,mortality,infant,0,pm10,weekly,18017,1 µg/m³ increase in pm10,0,0,0,6.91,29.35,43.37,23.85,0.1235,0.0341,NA,table 1,table 4 - column 8,NA,1
arceo-gomez et al. (2015),52,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12273,The Economic Journal,2015,economics,"mexico city, mexico",instrumental variable,infant mortality - respiratory causes,mortality,infant,0,co,weekly,18017,1 ppb increase in co,0,0,0,6.91,29.35,2707.56,797.7,0.0025,7e-4,NA,table 1,table 4 - column 8,NA,1
baccini et al. (2017),53,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,cardiovascular causes mortality - age 15–64,mortality,age 15–64,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,-172,119.14894,NA,NA,table 2 - column 1,NA,0
baccini et al. (2017),54,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,cardiovascular causes mortality - age 65–74,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,91,203.64742,NA,NA,table 2 - column 2,NA,0
baccini et al. (2017),55,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,cardiovascular causes mortality - age 75+,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,797,298.48024,NA,NA,table 2 - column 3,NA,0
baccini et al. (2017),56,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,cardiovascular causes mortality - all ages (15+),mortality,all ages (15+),0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,716,364.13374,NA,NA,table 2 - column 4,NA,0
baccini et al. (2017),57,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,respiratory causes mortality - age 15–64,mortality,age 15–64,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,-25,65.6535,NA,NA,table 2 - column 1,NA,0
baccini et al. (2017),58,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,respiratory causes mortality - age 65–74,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,87,46.20061,NA,NA,table 2 - column 2,NA,0
baccini et al. (2017),59,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,respiratory causes mortality - age 75+,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,243,161.09422,NA,NA,table 2 - column 3,NA,0
baccini et al. (2017),60,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,respiratory causes mortality - all ages (15+),mortality,all ages (15+),0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,305,175.07599,NA,NA,table 2 - column 4,NA,0
baccini et al. (2017),61,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,other natural causes mortality - age 15–64,mortality,age 15–64,1,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,153,242.55319,NA,NA,table 2 - column 1,NA,0
baccini et al. (2017),62,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,other natural causes mortality - age 65–74,mortality,old,1,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,-157,148.32827,NA,NA,table 2 - column 2,NA,0
baccini et al. (2017),63,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,other natural causes mortality - age 75+,mortality,old,1,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,62,289.3617,NA,NA,table 2 - column 3,NA,0
baccini et al. (2017),64,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,other natural causes mortality - all ages (15+),mortality,all ages (15+),1,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,58,336.77812,NA,NA,table 2 - column 4,NA,0
baccini et al. (2017),65,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,non-accidental mortality - age 15–64,mortality,age 15–64,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,-44,343.46505,NA,NA,table 2 - column 1,NA,0
baccini et al. (2017),66,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,non-accidental mortality - age 65–74,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,21,271.12462,NA,NA,table 2 - column 2,NA,0
baccini et al. (2017),67,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,non-accidental mortality - age 75+,mortality,old,0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,1102,434.04255,NA,NA,table 2 - column 3,NA,0
baccini et al. (2017),68,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-017-0215-7,Environmental Health,2017,epidemiology,"milan, italy",propensity score matching,non-accidental mortality - all ages (15+),mortality,all ages (15+),0,pm10 > 40 µg/m³,daily,1461,dummy for pm10 > 40 µg/m³,1,0,0,NA,NA,NA,NA,1079,585.41033,NA,NA,table 2 - column 4,NA,0
barwick et al. (2018),69,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",conventional time series,number of health spending transactions,morbidity,all,0,pm2.5,daily,192586,1 µg/m³ increase in pm2.5,0,0,1,7229.2,21308.6,56.33,46.37,0.11,0.02,NA,table 1,table 2 - column 1,NA,0
barwick et al. (2018),70,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",conventional time series,number of all hospital spending transactions,morbidity,all,0,pm2.5,daily,191814,1 µg/m³ increase in pm2.5,0,0,1,4122.7,14503.9,56.33,46.37,0.11,0.02,NA,table 1,table 2 - column 2,NA,0
barwick et al. (2018),71,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",conventional time series,number of pharmacy spending transactions,morbidity,all,0,pm2.5,daily,191277,1 µg/m³ increase in pm2.5,0,0,1,2245.3,7063.3,56.33,46.37,0.12,0.02,NA,table 1,table 2 - column 3,NA,0
barwick et al. (2018),72,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",conventional time series,number of people's hospitals spending transactions,morbidity,all,0,pm2.5,daily,185773,1 µg/m³ increase in pm2.5,0,0,1,1060.6,2800.4,56.33,46.37,0.13,0.02,NA,table 1,table 2 - column 4,NA,0
barwick et al. (2018),73,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",conventional time series,number of children's hospitals spending transactions,morbidity,children,0,pm2.5,daily,146224,1 µg/m³ increase in pm2.5,0,0,1,464.7,1290.5,56.33,46.37,0.18,0.05,NA,table 1,table 2 - column 5,NA,0
barwick et al. (2018),74,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",instrumental variable,number of health spending transactions,morbidity,all,0,pm2.5,daily,192586,1 µg/m³ increase in pm2.5,0,0,1,7229.2,21308.6,56.33,46.37,0.65,0.09,NA,table 1,table 3 - column 1,NA,0
barwick et al. (2018),75,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999068,working paper,2018,economics,"all cities, china",instrumental variable,number of all hospital spending transactions,morbidity,all,0,pm2.5,daily,191814,1 µg/m³ increase in pm2.5,0,0,1,4122.7,14503.9,56.33,46.37,0.73,0.11,NA,table 1,table 3 - column 2,NA,0
